ID,Original Title,Inferred Title_ru
4607,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E03.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4608,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E04.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4609,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E05.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4610,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E06.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4611,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E07.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4612,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E08.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4613,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E09.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4614,"48. Мистер Мерседес (Mr. Mercedes, 2017) 2017 S03E00 Mr.Mercedes.S03E10.WEB-DLRip.RGzsRutracker.Celta88.avi",Мистер Мерседес
4616,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e01.avi",Убийство на пляже
4617,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e02.avi",Убийство на пляже
4618,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e03.avi",Убийство на пляже
4619,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e04.avi",Убийство на пляже
4620,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e05.avi",Убийство на пляже
4621,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e06.avi",Убийство на пляже
4622,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e07.avi",Убийство на пляже
4623,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S01E00 s01e08.avi",Убийство на пляже
4625,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e01.avi",Убийство на пляже
4626,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e02.avi",Убийство на пляже
4627,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e03.avi",Убийство на пляже
4628,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e04.avi",Убийство на пляже
4629,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e05.avi",Убийство на пляже
4630,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e06.avi",Убийство на пляже
4631,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e07.avi",Убийство на пляже
4632,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S02E00 s02e08.avi",Убийство на пляже
4634,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e01.avi",Убийство на пляже
4635,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e02.avi",Убийство на пляже
4636,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e03.avi",Убийство на пляже
4637,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e04.avi",Убийство на пляже
4638,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e05.avi",Убийство на пляже
4639,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e06.avi",Убийство на пляже
4640,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e07.avi",Убийство на пляже
4641,"55. Убийство на пляже (Broadchurch, 2013–2017) 2013 S03E00 s03e08.avi",Убийство на пляже
4643,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e01_Pilot.avi",Оставленные
4644,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e02_Penguin.One,Us.Zero.avi",Оставленные
4645,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e03_Two.Boats.and.a.Helicopter.avi",Оставленные
4646,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e04_B.J..and.the.A.C..avi",Оставленные
4647,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e05_Gladys.avi",Оставленные
4648,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e06_Guest.avi",Оставленные
4649,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e07_Solace.for.Tired.Feet.avi",Оставленные
4650,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e08_Cairo.avi",Оставленные
4651,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e09_The.Garveys.at.Their.Best.avi",Оставленные
4652,"63. Оставленные (The Leftovers, 2014–2017) 2014 S01E00 s01e10_The.Prodigal.Son.Returns.avi",Оставленные
4654,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e01_Axis.Mundi.avi",Оставленные
4655,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e02_A.Matter.of.Geography.avi",Оставленные
4656,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e03_Off.Ramp.avi",Оставленные
4657,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e04_Orange.Sticker.avi",Оставленные
4658,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e05_No.Room.at.the.Inn.avi",Оставленные
4659,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e06_Lens.avi",Оставленные
4660,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e07_A.Most.Powerful.Adversary.avi",Оставленные
4661,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e08_International.Assassin.avi",Оставленные
4662,"63. Оставленные (The Leftovers, 2014–2017) 2014 S02E00 s02e09_Ten.Thirteen.avi",Оставленные
